text,label
I am seriously considering suicide,1
I don't want to be alive anymore,1
I feel like giving up on life completely,1
I am thinking about how to end my life,1
I want to hurt myself because I can't cope,1
I feel that I cannot go on anymore,1
I am having thoughts of killing myself,1
I feel like I would be better off dead,1
I am considering taking my own life,1
I don't know how much longer I can live like this,1
I have been thinking about suicide for days,1
I feel like ending everything,1
I am afraid I may hurt myself,1
I don't want to live through this anymore,1
I keep thinking about dying,1
I feel hopeless and want to die,1
I am planning to hurt myself,1
I am thinking seriously about ending my life,1
I feel like I have no reason to live,1
I want to die because I can't handle this,1
I am considering hurting myself,1
I feel like I might kill myself,1
I do not want to kill myself,0
I am not thinking about ending my life,0
I have no plans to hurt myself,0
I am not considering suicide,0
I don't have thoughts of killing myself,0
I want to stay alive,0
I want to keep living,0
I am looking forward to getting better,0
I have no intention of hurting myself,0
I am not suicidal,0
I do not plan to hurt myself,0
I don't want to die,0
I have no desire to end my life,0
I am not planning to kill myself,0
I am safe and want to live,0
I want help so I can feel better,0
I am struggling but I want to keep going,0
I feel sad but I don't want to hurt myself,0
I am stressed about college,0
I am worried about my exams,0
I am having difficulty sleeping,0
I feel anxious today,0
I feel overwhelmed with my studies,0
I am having a stressful week,0
I feel lonely sometimes,0
I am worried about my future,0
I am feeling nervous about work,0
I am having trouble concentrating,0
I feel exhausted after studying,0
I am frustrated with my situation,0
I feel down today,0
I had an argument with my friend,0
I am worried about my relationship,0
I feel stressed because of work,0
I need help managing my anxiety,0
I want to learn how to relax,0
I am having a bad day,0
I feel overwhelmed right now,0
I am worried about money,0
I have been feeling tense lately,0
I need advice about stress,0
I am having trouble relaxing,0
I feel nervous when meeting people,0
I am afraid of failing my exams,0
I feel tired lately,0
I want to improve my mental health,0
I need someone to talk to,0
I want to learn coping strategies,0
I feel like I want to end my life,1
I have been thinking about dying lately,1
I don't want to be alive anymore,1
I keep imagining myself dead,1
I feel that life has become unbearable,1
I am thinking seriously about suicide,1
I feel like there is no way forward for me,1
I have thoughts about ending my life,1
I am afraid I might hurt myself,1
I don't know if I can keep myself safe,1
I feel like giving up completely,1
I am thinking about taking my life,1
I want everything to stop,1
I feel like I cannot continue anymore,1
I have been thinking about suicide recently,1
I feel that I have nothing left to live for,1
I want to end my suffering by dying,1
I keep thinking that everyone would be better without me,1
I am considering ending my life,1
I am having strong thoughts about suicide,1
I feel like I might harm myself,1
I don't think I can go on living,1
I have been thinking about killing myself today,1
I feel like death is the only escape,1
I am seriously thinking about hurting myself,1
I don't want to wake up tomorrow,1
I wish I were dead,1
I keep thinking about ending everything,1
I feel completely hopeless and want to die,1
I am afraid of what I might do to myself,1
I am thinking about suicide right now,1
I don't see any point in staying alive,1
I feel like my life should end,1
I have thoughts of taking my own life,1
I am considering hurting myself,1
I don't feel safe with myself right now,1
I am thinking about ending my suffering,1
I feel like I cannot handle being alive anymore,1
I want to disappear and never come back,1
I am having suicidal thoughts,1
I am worried that I could hurt myself,1
I keep thinking about dying instead of living,1
I feel like there is no reason for me to continue,1
I am planning to harm myself,1
I am thinking about ending my life tonight,1
I feel like I have reached my limit and want to die,1
I am considering suicide as an option,1
I don't want to continue living like this,1
I am scared that I may hurt myself,1
I feel like I would rather be dead,1
I am not suicidal and I want to live,0
I don't have any thoughts of suicide,0
I have no intention of hurting myself,0
I am not planning to harm myself,0
I don't want to end my life,0
I do not want to die,0
I want to stay alive,0
I want to get through this difficult period,0
I am trying to find reasons to keep going,0
I have no plans to hurt myself,0
I am safe right now,0
I am not considering suicide,0
I am not thinking about killing myself,0
I don't want to hurt myself,0
I have never wanted to end my life,0
I want to recover and feel better,0
I want to keep moving forward,0
I am struggling but I want to live,0
I want support with my problems,0
I am looking for healthy ways to cope,0
I am feeling stressed but I am safe,0
I feel sad but I don't want to die,0
I feel anxious but I want to get better,0
I am having a difficult week,0
I am stressed about my assignments,0
I am worried about my exams,0
I cannot concentrate on my studies,0
I feel overwhelmed by college,0
I am nervous about an upcoming presentation,0
I am worried about my grades,0
I feel pressure from my studies,0
I am exhausted from studying,0
I am having trouble sleeping,0
I wake up several times during the night,0
I cannot relax before bedtime,0
I feel tired during the day,0
I have been sleeping poorly lately,0
I am worried about my future,0
I feel uncertain about my career,0
I am stressed about finding a job,0
I am worried about money,0
I am having financial difficulties,0
I am stressed because of my family,0
I had an argument with my parents,0
I am having problems with a friend,0
I feel lonely lately,0
I feel left out by my friends,0
I am having relationship problems,0
I am worried about my partner,0
I keep arguing with my partner,0
I feel emotionally exhausted,0
I have been feeling sad lately,0
I feel low after a difficult day,0
I don't feel motivated lately,0
I am struggling to enjoy my hobbies,0
I feel nervous in social situations,0
I am afraid people will judge me,0
I feel uncomfortable meeting new people,0
I want help with my social anxiety,0
I worry too much about small things,0
I feel anxious about many things,0
I have trouble controlling my worries,0
I find it difficult to relax,0
I feel restless most of the time,0
I get irritated easily when stressed,0
I feel tense during the day,0
I am worried something bad might happen,0
I want to learn how to manage anxiety,0
I need help dealing with stress,0
I want some advice for coping with stress,0
I am feeling overwhelmed today,0
I need a way to calm down,0
I want to practice mindfulness,0
I want to learn breathing exercises,0
I need help managing my emotions,0
I want to improve my mental wellbeing,0
I would like someone to listen to me,0
I need emotional support,0
I want to talk about my feelings,0
I am having a hard time lately,0
I don't know how to handle my stress,0
I feel mentally exhausted,0
I am struggling with motivation,0
I have difficulty focusing,0
I feel overwhelmed by everything,0
I am worried about making mistakes,0
I put too much pressure on myself,0
I think my perfectionism is causing stress,0
I am afraid of failing,0
I worry about disappointing others,0
I have low confidence,0
I feel insecure around people,0
I want to become more confident,0
I am nervous about speaking in public,0
I feel uncomfortable in crowded places,0
I am having difficulty making friends,0
I feel isolated from others,0
I want to improve my relationships,0
I need advice about family problems,0
I am struggling after an argument,0
I feel upset about something that happened,0
I am having difficulty managing my emotions,0
I feel angry and don't know what to do,0
I feel frustrated with my situation,0
I am having a stressful day at work,0
My workload is making me anxious,0
I feel burned out from work,0
I need help balancing work and life,0
I am worried about losing my job,0
I feel pressure at work,0
I am struggling with a difficult project,0
I am nervous about an interview,0
I feel anxious about meeting my manager,0
I am having trouble staying productive,0
I need help organizing my responsibilities,0
I feel overwhelmed by my daily tasks,0
I am struggling to maintain a routine,0
I want to build healthier habits,0
I want to improve my sleep routine,0
I want to take better care of myself,0
I need ideas for self-care,0
I want to spend more time exercising,0
I want to reduce my stress,0
I want to feel calmer,0
I want to understand my emotions,0
I am trying to cope with a difficult situation,0
I want to learn healthy coping skills,0
I want to understand why I feel anxious,0
I need help dealing with negative thoughts,0
I want to become more mindful,0
I want to feel more positive,0
I am looking for mental health information,0
I want to learn about anxiety,0
I want to learn about depression,0
I want to learn about stress management,0
I want information about self-care,0
I want to understand mental health better,0
I am thinking about ending my life,1
I feel like I want to die tonight,1
I don't see a reason to keep living,1
I am thinking of taking my own life,1
I feel that I cannot keep going anymore,1
I want to end everything,1
I am considering taking my life,1
I keep thinking about suicide,1
I feel like dying would be easier,1
I am scared that I might hurt myself,1
I am thinking about hurting myself,1
I don't think I can stay alive much longer,1
I wish I were dead,1
I feel like my life is not worth living,1
I am having thoughts of killing myself,1
I want my life to end,1
I feel like there is no way out except death,1
I am thinking seriously about suicide,1
I am afraid I will hurt myself,1
I have been thinking about ending my life,1
I don't want to be alive anymore,1
I feel like giving up on life,1
I am planning to end my life,1
I am thinking about committing suicide,1
I feel like I cannot continue living,1
I have thoughts about taking my own life,1
I want to disappear forever,1
I am afraid I might kill myself,1
I feel that suicide is my only option,1
I have been thinking about dying,1
I am struggling with thoughts of suicide,1
I feel like ending my life would solve everything,1
I don't see any future for myself and want to die,1
I keep imagining myself ending my life,1
I am thinking about seriously hurting myself,1
I feel unsafe with myself right now,1
I am worried I might do something to myself,1
I want to stop living,1
I feel like I would be better off dead,1
I am having urges to hurt myself,1
I am considering ending my life,1
I don't know how much longer I can live like this,1
I feel hopeless and want to die,1
I have been thinking of suicide for days,1
I am afraid of what I might do to myself,1
I want everything to end permanently,1
I feel like there is no point in living,1
I am seriously considering killing myself,1
I cannot stop thinking about ending my life,1
I want to stay alive and get through this,0
I am feeling stressed about college,0
I am worried about tomorrow,0
I am having trouble concentrating,0
I feel anxious before exams,0
I have been feeling lonely lately,0
I am struggling to manage my workload,0
I feel overwhelmed by my assignments,0
I am having difficulty relaxing,0
I have been feeling sad recently,0
I am worried about my career,0
I feel nervous about meeting new people,0
I am having trouble sleeping,0
I feel stressed because of work,0
I am worried about my grades,0
I feel emotionally tired,0
I need help managing my stress,0
I feel anxious sometimes,0
I am having a difficult day,0
I feel overwhelmed right now,0
I am worried about my future,0
I have been feeling low lately,0
I am having problems with my sleep,0
I feel restless at night,0
I am finding it hard to relax,0
I feel stressed about my family,0
I am having relationship problems,0
I feel nervous when speaking in public,0
I am worried about an upcoming interview,0
I have been under a lot of pressure,0
I need some advice about stress,0
I feel frustrated with my studies,0
I am finding college difficult,0
I have been feeling exhausted,0
I feel anxious about social situations,0
I am having a stressful week,0
I feel sad after losing a friendship,0
I am struggling with motivation,0
I am worried about money,0
I have difficulty falling asleep,0
I feel tense most of the time,0
I am having difficulty dealing with stress,0
I feel nervous about an important event,0
I am worried about making mistakes,0
I feel overwhelmed by responsibilities,0
I need help with anxiety,0
I feel lonely and want someone to talk to,0
I am having a hard time focusing,0
I want to learn how to relax,0
I am feeling down today,0
I am trying to improve my mental health,0
I am thinking about ending everything in my life,1
I don't think I can keep myself safe,1
I feel like I am reaching my breaking point and want to die,1
I have been thinking about suicide lately,1
I don't want to wake up tomorrow,1
I feel like death would be better than this,1
I am having serious thoughts about ending my life,1
I feel like I have nothing left to live for,1
I am thinking about killing myself tonight,1
I feel like I should not be alive,1
I am afraid that I may act on my suicidal thoughts,1
I keep thinking that I should end my life,1
I don't think life is worth continuing,1
I am struggling with thoughts about dying,1
I feel like I want to leave this world,1
I am thinking about suicide again,1
I have been feeling like I want to die,1
I am considering hurting myself badly,1
I feel that I cannot cope with living anymore,1
I am having thoughts of ending everything,1
I don't think I can go on with my life,1
I feel like suicide is the only answer,1
I am scared I could hurt myself,1
I have thoughts about not wanting to live,1
I am seriously thinking about ending my life,1
I feel like I want to disappear and never come back,1
I cannot stop thinking about dying,1
I feel like I would rather be dead,1
I am thinking about taking my own life tonight,1
I don't feel safe being alone with myself,1
I feel like ending my life is the only way out,1
I have been having suicidal thoughts recently,1
I am worried that I might hurt myself,1
I feel like I cannot handle another day alive,1
I want to end my suffering by ending my life,1
I keep thinking about killing myself,1
I feel completely hopeless and want to die,1
I am considering suicide because I cannot cope anymore,1
I feel like there is no reason for me to stay alive,1
I am having strong urges to hurt myself,1
I think about death all the time and want to die,1
I don't want to continue living like this,1
I feel like I am going to hurt myself,1
I have been planning to end my life,1
I am thinking about how I could end my life,1
I feel that everyone would be better without me,1
I wish I could end my life,1
I am afraid I may act on thoughts of suicide,1
I don't want to live through another day,1
I feel like giving up and ending my life,1
I want to live even though I am struggling,0
I am having a stressful week at college,0
I feel nervous about my upcoming exam,0
I am worried about my academic performance,0
I have been feeling anxious about work,0
I am struggling to balance my responsibilities,0
I feel tired after a busy day,0
I have been sleeping poorly recently,0
I am having difficulty getting enough sleep,0
I feel stressed when I have too many assignments,0
I am worried about an upcoming presentation,0
I feel uncomfortable in large groups,0
I get nervous when talking to strangers,0
I am feeling lonely this evening,0
I miss spending time with my friends,0
I am having problems communicating with my partner,0
I feel frustrated with my family,0
I am worried about financial problems,0
I have been feeling emotionally drained,0
I need some help dealing with stress,0
I want to find ways to reduce my anxiety,0
I am trying to sleep better at night,0
I feel worried about what people think of me,0
I am nervous about meeting someone new,0
I have been feeling distracted lately,0
I am finding it difficult to concentrate on studying,0
I feel overwhelmed by my daily routine,0
I have been under pressure at work,0
I am worried about an upcoming deadline,0
I feel frustrated when things don't go as planned,0
I am having trouble managing my emotions,0
I feel sad because I had an argument with someone,0
I am having a difficult time adjusting to college,0
I feel stressed about my responsibilities,0
I am worried about making the right decision,0
I want to learn some relaxation techniques,0
I am feeling anxious before going to class,0
I have been feeling low because of work pressure,0
I am struggling to maintain a regular sleep schedule,0
I feel tense when I have many things to do,0
I am worried about my relationship,0
I feel nervous about an upcoming meeting,0
I have been feeling exhausted from studying,0
I want to improve my confidence,0
I am having difficulty staying motivated,0
I feel stressed when I think about my future,0
I am trying to cope with a stressful situation,0
I feel sad but I want to feel better,0
I want to talk about my anxiety,0
I am looking for ways to manage stress,0
I feel like I cannot face life anymore,1
I have been thinking about suicide since yesterday,1
I don't want to exist anymore,1
I feel like I need to end my life,1
I am having thoughts about killing myself again,1
I don't think I can keep living this way,1
I feel like I have reached the end,1
I am thinking about dying because I feel hopeless,1
I want to end my life because I cannot cope,1
I am scared of my own thoughts about suicide,1
I feel like there is no reason to stay alive,1
I keep wishing that I was dead,1
I am struggling to stay alive,1
I feel like I want to end my life soon,1
I cannot stop having thoughts about suicide,1
I feel like I have nothing to live for,1
I am thinking seriously about taking my own life,1
I want to die because everything feels unbearable,1
I am afraid I might end my life,1
I feel like suicide keeps coming into my mind,1
I don't think I can survive this anymore,1
I have thoughts about ending everything,1
I feel like I should just die,1
I am thinking about hurting myself to end my pain,1
I feel that life has become impossible for me,1
I am having a strong desire to die,1
I keep thinking that I would be better off dead,1
I am considering ending everything tonight,1
I feel like I cannot keep myself safe tonight,1
I am worried that my suicidal thoughts will get worse,1
I want to stop existing,1
I feel like death is the only escape,1
I am seriously thinking about ending everything,1
I don't feel like continuing with life,1
I am having thoughts of harming myself,1
I feel like I am losing the ability to keep myself safe,1
I am thinking about ending my suffering by dying,1
I feel completely hopeless and think about suicide,1
I am afraid I might do something dangerous to myself,1
I don't want to live anymore because I feel hopeless,1
I keep thinking about taking my own life,1
I feel like I have reached a point where I want to die,1
I am having recurring thoughts about suicide,1
I feel like there is no future worth living for,1
I am thinking about seriously harming myself,1
I don't know if I can keep myself safe,1
I feel like giving up on living,1
I want to end my life and cannot stop thinking about it,1
I am afraid that I will hurt myself,1
I feel like I am in danger from my own thoughts,1
I am feeling stressed about my upcoming exams,0
I am nervous about starting a new job,0
I have been worrying about my studies,0
I feel overwhelmed by college work,0
I am having trouble sleeping because I am stressed,0
I feel anxious when I have to speak in class,0
I am worried about disappointing my parents,0
I have been feeling lonely at college,0
I am struggling to organize my daily tasks,0
I feel stressed when I have too much work,0
I am having difficulty focusing on my studies,0
I feel nervous about an upcoming presentation,0
I have been feeling tired during the day,0
I am worried about my grades this semester,0
I feel anxious about meeting new classmates,0
I am finding it hard to relax after work,0
I have been feeling stressed about my finances,0
I am worried about an argument with my friend,0
I feel sad because someone upset me,0
I am having difficulty falling asleep lately,0
I want advice for handling stress,0
I want to learn how to manage anxiety,0
I feel overwhelmed by everything I need to do,0
I am worried about my upcoming interview,0
I feel nervous about talking to people,0
I have been feeling emotionally exhausted,0
I am struggling to stay motivated with my work,0
I feel tense when I have deadlines,0
I am worried about my relationship,0
I have been having stressful thoughts about the future,0
I feel uncomfortable in social situations,0
I am having a difficult time adjusting to university,0
I want to improve my sleep routine,0
I feel anxious before important events,0
I am stressed because of family responsibilities,0
I am having trouble managing my workload,0
I feel sad after a disagreement with my friend,0
I want some techniques for relaxing,0
I am worried about an upcoming deadline,0
I feel overwhelmed by my responsibilities,0
I am struggling with exam pressure,0
I have been feeling nervous lately,0
I want help dealing with everyday stress,0
I feel anxious about my career plans,0
I am finding it difficult to balance work and studies,0
I feel tired because I have been working too much,0
I am worried about making a mistake at work,0
I want to feel less stressed during the day,0
I am having difficulty concentrating because of stress,0
I feel low after having a bad day,0
I want to learn ways to cope with pressure,0
I am trying to improve my mental wellbeing,0
I feel nervous about an important conversation,0
I am having trouble relaxing before bed,0
I feel stressed about changes happening in my life,0
I need advice about handling difficult emotions,0
I feel like I am running out of hope,1
I am thinking that I should end my life,1
I don't want to face another day,1
I have been thinking about dying every day,1
I feel like I cannot live with this pain anymore,1
I am thinking about suicide when I am alone,1
I feel like ending my life is becoming an option,1
I am worried I may act on my thoughts of dying,1
I don't want to keep living anymore,1
I feel like I have no reason to stay alive,1
I am having repeated thoughts about killing myself,1
I feel like I want to disappear permanently,1
I am considering taking my life because I feel hopeless,1
I am scared that I might attempt suicide,1
I keep thinking that life is not worth living,1
I feel like I cannot continue another day,1
I have been thinking about harming myself,1
I feel like dying would end all my problems,1
I don't think I can keep going like this,1
I am seriously considering suicide,1
I feel like I want to die and cannot stop thinking about it,1
I am afraid I will act on my thoughts,1
I have thoughts about ending my life when things get difficult,1
I feel like there is nothing left for me,1
I am thinking about ending my life because I feel alone,1
I feel that I cannot keep myself safe,1
I am having thoughts of self-harm,1
I don't see a future for myself anymore,1
I feel like I want to end my life right now,1
I am afraid I could hurt myself tonight,1
I keep thinking about suicide and death,1
I feel like I have reached my limit and want to die,1
I am considering suicide because I feel trapped,1
I don't want to continue living,1
I feel like I would rather not be alive,1
I am thinking about ending my life because everything feels impossible,1
I feel unable to keep myself safe from self-harm,1
I have been having serious thoughts about dying,1
I feel like giving up on my life,1
I am scared by how much I am thinking about suicide,1
I feel like I want to die because I cannot handle things,1
I am thinking about hurting myself to escape my feelings,1
I don't believe I can keep living through this,1
I feel like my life should just end,1
I am having thoughts about suicide right now,1
I feel like death is the only way to stop my pain,1
I am worried about what I might do to myself tonight,1
I want to end my life because I feel completely hopeless,1
I have been seriously considering ending my life,1
I cannot imagine continuing to live like this,1
I am thinking about suicide but I don't know what to do,1
I want to get better and continue living,0
I am feeling stressed because of my exams,0
I am nervous about my first day at work,0
I have been worrying about my future career,0
I feel overwhelmed by my study schedule,0
I am having trouble sleeping because my mind is busy,0
I feel anxious about meeting new people,0
I am worried about an upcoming test,0
I feel stressed when I have too many responsibilities,0
I have been feeling lonely recently,0
I am struggling with pressure from college,0
I feel nervous before giving presentations,0
I am having difficulty relaxing after a stressful day,0
I feel tired because I have not been sleeping well,0
I am worried about my performance at work,0
I feel anxious when I have to speak in public,0
I am having problems managing my time,0
I feel overwhelmed by my assignments,0
I am worried about my family's expectations,0
I have been feeling emotionally drained lately,0
I want advice on improving my sleep,0
I am having trouble staying focused while studying,0
I feel nervous about an important decision,0
I am stressed about an upcoming deadline,0
I am finding it difficult to balance everything,0
I feel sad because I had a disagreement with my friend,0
I am worried about problems in my relationship,0
I feel anxious about my financial situation,0
I am having difficulty controlling my worries,0
I want to learn how to handle stress better,0
I feel uncomfortable around large groups of people,0
I have been feeling low after a difficult week,0
I am struggling to stay motivated with my studies,0
I feel tense whenever I have an important deadline,0
I am worried about an upcoming family event,0
I want some help with managing my anxiety,0
I feel exhausted after working all day,0
I am having trouble falling asleep at night,0
I feel stressed about changes in my life,0
I am worried about making the wrong choice,0
I want to find healthy ways to relax,0
I feel nervous about an upcoming interview,0
I am struggling with everyday pressure,0
I feel sad because I am away from my friends,0
I am worried about my academic results,0
I have difficulty concentrating when I am stressed,0
I feel overwhelmed by my daily routine,0
I am trying to find better ways to cope with stress,0
I want to improve my emotional wellbeing,0
I feel anxious about what people think of me,0
I am having a hard time relaxing before sleep,0
I feel stressed about an upcoming meeting,0
I am worried about my responsibilities at home,0
I need someone to talk to about my stress,0
I am trying to develop healthier habits,0
I feel frustrated because things are not going as planned,0
I want to understand why I feel anxious,0
I am having a difficult time dealing with pressure,0
I feel lonely but I want to connect with people,0
I am trying to improve my sleep schedule,0
I feel nervous about starting something new,0
I am looking for ways to manage my worries,0
I feel like my life has reached a dead end,1
I am thinking about ending my life because I feel trapped,1
I don't want to wake up anymore,1
I keep thinking that I should die,1
I feel unable to continue living,1
I am having thoughts of suicide tonight,1
I feel like I cannot handle being alive anymore,1
I am seriously thinking about taking my life,1
I feel like there is no hope for me and I want to die,1
I am afraid I may hurt myself when I am alone,1
I keep having thoughts about ending my life,1
I don't feel that I have a reason to live,1
I want to die because I cannot deal with my problems,1
I am considering suicide because everything feels hopeless,1
I feel like I have reached the point of wanting to die,1
I am thinking about ending my life right now,1
I cannot stop thinking about taking my own life,1
I feel like I would be better off if I were dead,1
I am worried I might attempt suicide,1
I have been thinking about self-harm constantly,1
I feel like I cannot stay alive any longer,1
I want my suffering to end by ending my life,1
I am having thoughts that I should not be alive,1
I am scared that I could kill myself,1
I feel like suicide is becoming the only thing I can think about,1
I don't see any reason to continue living,1
I am thinking about dying because I feel completely alone,1
I feel like I cannot escape my thoughts of suicide,1
I am having thoughts about seriously hurting myself,1
I feel like I want to die more and more,1
I am considering ending my life because I feel worthless,1
I don't think I can make it through another day,1
I feel like I have nothing to look forward to and want to die,1
I am afraid of what I might do to myself,1
I keep thinking about ending my life when I feel overwhelmed,1
I feel like giving up on everything and dying,1
I am having suicidal thoughts that are difficult to control,1
I feel like I cannot continue living with this pain,1
I want to disappear and never be alive again,1
I am seriously considering hurting myself,1
I don't feel safe with myself at the moment,1
I have been thinking about suicide for a long time,1
I feel like ending my life would be easier,1
I am afraid I will act on my thoughts,1
I don't want to continue existing,1
I feel like there is no way forward except death,1
I am thinking about suicide because I feel completely overwhelmed,1
I feel like I am losing hope and want to die,1
I have thoughts about killing myself when I am upset,1
I am worried about hurting myself tonight,1
I feel like I cannot cope with life anymore,1
I want to end my life because I feel like a burden,1
I feel like nobody would care if I died,1
I am thinking about ending my life because I feel unwanted,1
I have been seriously thinking about suicide lately,1
I feel like dying is the only way to escape everything,1
I don't think I can keep myself safe tonight,1
I am having strong thoughts about ending my life,1
I feel like I am done with living,1
I am thinking about harming myself right now,1
I feel like my life has no meaning and I want to die,1
I cannot imagine staying alive much longer,1
I am scared that I might attempt to hurt myself,1
I want to stop living because everything hurts,1
I am having thoughts of suicide and need help,1
I feel like I have no reason to stay alive anymore,1
I am thinking about taking my own life because I feel hopeless,1
I keep wishing that I could die,1
I feel like I cannot go on living this way,1
I am considering hurting myself seriously,1
I am afraid I could act on my suicidal thoughts,1
I feel like ending my life is the only solution,1
I don't want to live through this anymore,1
I am having thoughts about death and suicide,1
I feel like I have reached my limit and want to end my life,1
I am thinking about suicide and don't know how to stop,1
I feel like I want to die when I think about my problems,1
I am worried that I will hurt myself if things get worse,1
I feel like I cannot find a reason to keep going,1
I am seriously thinking about ending everything,1
I have thoughts about ending my life when I am alone,1
I feel like I want to die and I am scared,1
I don't know how to keep myself alive anymore,1
I feel like life is unbearable and I want to die,1
I am considering suicide because I feel like a failure,1
I am thinking about ending my life because I feel helpless,1
I feel like I have no future and want to die,1
I am having repeated urges to hurt myself,1
I don't want to be here anymore,1
I feel like I cannot live with myself anymore,1
I am afraid my thoughts about suicide may become actions,1
I feel like death would be better than continuing,1
